PurchaseOrderLineID,PurchaseOrderID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,LastEditedBy,LastEditedWhen
103,7,96,19,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",19,6,90,41277,TRUE,5,41277.29167
104,7,97,24,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",24,6,96,41277,TRUE,5,41277.29167
105,7,103,9,Alien officer hoodie (Black) XXL,9,7,17,41277,TRUE,5,41277.29167
106,7,105,14,Alien officer hoodie (Black) 4XL,14,7,17,41277,TRUE,5,41277.29167
107,7,107,8,Superhero action jacket (Blue) 3XS,8,7,19,41277,TRUE,5,41277.29167
108,7,112,8,Superhero action jacket (Blue) L,8,7,22,41277,TRUE,5,41277.29167
109,7,116,8,Superhero action jacket (Blue) 4XL,8,7,24,41277,TRUE,5,41277.29167
110,7,117,10,Superhero action jacket (Blue) 5XL,10,7,24,41277,TRUE,5,41277.29167
111,7,118,31,Dinosaur battery-powered slippers (Green) S,31,7,8,41277,TRUE,5,41277.29167
112,7,130,32,Furry gorilla with big eyes slippers (Black) S,32,7,8,41277,TRUE,5,41277.29167
113,7,133,30,Furry gorilla with big eyes slippers (Black) XL,30,7,8.5,41277,TRUE,5,41277.29167
114,7,137,25,Animal with big feet slippers (Brown) XL,25,7,8.5,41277,TRUE,5,41277.29167
115,8,28,29,DBA joke mug - two types of DBAs (White),29,7,4.5,41277,TRUE,5,41277.29167
116,8,29,42,DBA joke mug - two types of DBAs (Black),42,7,4.5,41277,TRUE,5,41277.29167
117,8,38,31,Developer joke mug - inheritance is the OO way to become wealthy (White),31,7,4.5,41277,TRUE,5,41277.29167
118,8,46,44,Developer joke mug - a foo walks into a bar (White),44,7,4.5,41277,TRUE,5,41277.29167
119,9,154,8,Medium sized bubblewrap roll 20m,8,7,100,41277,TRUE,5,41277.29167
120,9,160,15,20 mm Double sided bubble wrap 20m,15,7,150,41277,TRUE,5,41277.29167
121,9,178,5,Shipping carton (Brown) 500x310x310mm,5,7,27.5,41277,TRUE,5,41277.29167
122,9,186,11,Shipping carton (Brown) 457x457x457mm,11,7,27.5,41277,TRUE,5,41277.29167
123,9,188,7,3 kg Courier post bag (White) 300x190x95mm,7,7,9,41277,TRUE,5,41277.29167
124,9,189,9,Clear packaging tape 48mmx75m,9,7,44.2,41277,TRUE,5,41277.29167
125,9,193,2,Black and orange glass with care despatch tape 48mmx75m,2,7,38.4,41277,TRUE,5,41277.29167
126,9,196,16,Black and orange handle with care despatch tape  48mmx100m,16,7,48,41277,TRUE,5,41277.29167
127,9,199,3,Black and yellow heavy despatch tape  48mmx75m,3,7,36,41277,TRUE,5,41277.29167
128,9,200,2,Black and yellow heavy despatch tape 48mmx100m,2,7,57.6,41277,TRUE,5,41277.29167
129,9,203,3,Tape dispenser (Black),3,7,170,41277,TRUE,5,41277.29167
130,9,205,11,Tape dispenser (Blue),11,7,170,41277,TRUE,5,41277.29167
131,9,207,13,Permanent marker blue 5mm nib (Blue) 5mm,13,7,20.4,41277,TRUE,5,41277.29167
132,9,211,16,Small 9mm replacement blades 9mm,16,7,26,41277,TRUE,5,41277.29167
133,9,212,15,Large  replacement blades 18mm,15,7,20.5,41277,TRUE,5,41277.29167
134,9,214,11,Air cushion film 200mmx200mm 325m,11,7,54,41277,TRUE,5,41277.29167
135,9,216,5,Void fill 100 L bag (White) 100L,5,7,60,41277,TRUE,5,41277.29167
136,10,60,83,RC toy sedan car with remote control (Blue) 1/50 scale,83,7,12.5,41277,TRUE,5,41277.29167
137,11,1,88,USB missile launcher (Green),88,7,9.5,41277,TRUE,5,41277.29167
138,11,3,15,Office cube periscope (Black),15,6,112.5,41277,TRUE,5,41277.29167
139,11,15,196,USB food flash drive - dessert 10 drive variety pack,196,9,88.5,41277,TRUE,5,41277.29167
140,12,77,11,"""The Gu"" red shirt XML tag t-shirt (White) XXS",11,6,84,41278,TRUE,3,41278.29167
141,12,101,5,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",5,6,102,41278,TRUE,3,41278.29167
142,12,108,6,Superhero action jacket (Blue) XXS,6,7,19,41278,TRUE,3,41278.29167
143,12,114,6,Superhero action jacket (Blue) XXL,6,7,22,41278,TRUE,3,41278.29167
144,12,119,27,Dinosaur battery-powered slippers (Green) M,27,7,8,41278,TRUE,3,41278.29167
145,12,120,36,Dinosaur battery-powered slippers (Green) L,36,7,8,41278,TRUE,3,41278.29167
146,12,129,27,Plush shark slippers (Gray) XL,27,7,8.5,41278,TRUE,3,41278.29167
147,12,139,8,Furry animal socks (Pink) M,8,9,18,41278,TRUE,3,41278.29167
148,12,143,18,Halloween zombie mask (Light Brown) M,18,6,228,41278,TRUE,3,41278.29167
149,13,32,26,Developer joke mug - that's a hardware problem (White),26,7,4.5,41278,TRUE,3,41278.29167
150,13,33,32,Developer joke mug - that's a hardware problem (Black),32,7,4.5,41278,TRUE,3,41278.29167
151,14,153,11,Small sized bubblewrap roll 10m,11,7,22,41278,TRUE,3,41278.29167
152,14,155,24,Large sized bubblewrap roll 50m,24,7,130,41278,TRUE,3,41278.29167
153,14,159,5,20 mm Double sided bubble wrap 10m,5,7,80,41278,TRUE,3,41278.29167
154,14,169,6,20 mm Anti static bubble wrap (Blue) 20m,6,7,210,41278,TRUE,3,41278.29167
155,14,173,8,32 mm Anti static bubble wrap (Blue) 50m,8,7,470,41278,TRUE,3,41278.29167
156,14,175,10,Bubblewrap dispenser (Blue) 1.5m,10,7,110,41278,TRUE,3,41278.29167
157,14,176,23,Bubblewrap dispenser (Red) 1.5m,23,7,110,41278,TRUE,3,41278.29167
158,14,177,4,Shipping carton (Brown) 413x285x187mm,4,7,13.75,41278,TRUE,3,41278.29167
159,14,179,7,Shipping carton (Brown) 229x229x229mm,7,7,13.75,41278,TRUE,3,41278.29167
160,14,185,17,Shipping carton (Brown) 356x356x279mm,17,7,26.25,41278,TRUE,3,41278.29167
161,14,187,23,Express post box 5kg (White) 350x280x130mm,23,7,11.25,41278,TRUE,3,41278.29167
162,14,189,4,Clear packaging tape 48mmx75m,4,7,44.2,41278,TRUE,3,41278.29167
163,14,190,4,Clear packaging tape 48mmx100m,4,7,36,41278,TRUE,3,41278.29167
164,14,201,6,Red and white urgent despatch tape 48mmx75m,6,7,38.4,41278,TRUE,3,41278.29167
165,14,203,6,Tape dispenser (Black),6,7,170,41278,TRUE,3,41278.29167
166,14,217,9,Void fill 200 L bag (White) 200L,9,7,160,41278,TRUE,3,41278.29167
167,15,68,47,Ride on toy sedan car (Red) 1/12 scale,47,7,145,41278,TRUE,3,41278.29167
168,15,74,42,Ride on vintage American toy coupe (Black) 1/12 scale,42,7,155,41278,TRUE,3,41278.29167
169,16,4,104,USB food flash drive - sushi roll,104,7,12,41278,TRUE,3,41278.29167
170,16,10,111,USB food flash drive - chocolate bar,111,7,12,41278,TRUE,3,41278.29167
171,16,13,99,USB food flash drive - shrimp cocktail,99,7,12,41278,TRUE,3,41278.29167
172,17,77,9,"""The Gu"" red shirt XML tag t-shirt (White) XXS",9,6,84,41281,TRUE,14,41281.29167
173,17,83,12,"""The Gu"" red shirt XML tag t-shirt (White) XXL",12,6,90,41281,TRUE,14,41281.29167
174,17,131,21,Furry gorilla with big eyes slippers (Black) M,21,7,8,41281,TRUE,14,41281.29167
175,17,132,24,Furry gorilla with big eyes slippers (Black) L,24,7,8,41281,TRUE,14,41281.29167
176,17,142,16,Halloween zombie mask (Light Brown) S,16,6,228,41281,TRUE,14,41281.29167
177,17,145,13,Halloween zombie mask (Light Brown) XL,13,6,228,41281,TRUE,14,41281.29167
178,18,17,33,DBA joke mug - mind if I join you? (Black),33,7,4.5,41281,TRUE,14,41281.29167
179,18,53,31,IT joke mug - keyboard not found … press F1 to continue (Black),31,7,4.5,41281,TRUE,14,41281.29167
180,19,157,5,10 mm Double sided bubble wrap 20m,5,7,140,41281,TRUE,14,41281.29167
181,19,161,12,20 mm Double sided bubble wrap 50m,12,7,160,41281,TRUE,14,41281.29167
182,19,174,7,Bubblewrap dispenser (Black) 1.5m,7,7,110,41281,TRUE,14,41281.29167
183,19,180,9,Shipping carton (Brown) 279x254x217mm,9,7,15,41281,TRUE,14,41281.29167
184,19,208,13,Permanent marker red 5mm nib (Red) 5mm,13,7,20.4,41281,TRUE,14,41281.29167
185,19,218,8,Void fill 300 L bag (White) 300L,8,7,180,41281,TRUE,14,41281.29167
186,20,69,50,Ride on toy sedan car (Blue) 1/12 scale,50,7,145,41281,TRUE,14,41281.29167
187,21,77,2,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2,6,84,41281,TRUE,14,41281.29167
188,21,83,6,"""The Gu"" red shirt XML tag t-shirt (White) XXL",6,6,90,41281,TRUE,14,41281.29167
189,21,106,8,Alien officer hoodie (Black) 5XL,8,7,17,41281,TRUE,14,41281.29167
190,21,135,21,Animal with big feet slippers (Brown) M,21,7,8,41281,TRUE,14,41281.29167
191,21,144,18,Halloween zombie mask (Light Brown) L,18,6,228,41281,TRUE,14,41281.29167
192,22,48,35,Developer joke mug - this code was generated by a tool (White),35,7,4.5,41281,TRUE,14,41281.29167
193,23,161,8,20 mm Double sided bubble wrap 50m,8,7,160,41281,TRUE,14,41281.29167
194,23,177,13,Shipping carton (Brown) 413x285x187mm,13,7,13.75,41281,TRUE,14,41281.29167
195,23,180,2,Shipping carton (Brown) 279x254x217mm,2,7,15,41281,TRUE,14,41281.29167
196,23,192,11,Black and orange fragile despatch tape 48mmx100m,11,7,82.8,41281,TRUE,14,41281.29167
197,23,204,2,Tape dispenser (Red),2,7,170,41281,TRUE,14,41281.29167
198,23,218,5,Void fill 300 L bag (White) 300L,5,7,180,41281,TRUE,14,41281.29167
199,24,65,83,RC vintage American toy coupe with remote control (Black) 1/50 scale,83,7,15,41281,TRUE,14,41281.29167
200,25,8,204,USB food flash drive - dim sum 10 drive variety pack,204,9,88.5,41281,TRUE,14,41281.29167
201,25,11,102,USB food flash drive - cookie,102,7,12,41281,TRUE,14,41281.29167
202,26,77,2,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2,6,84,41282,TRUE,17,41282.29167
203,26,78,2,"""The Gu"" red shirt XML tag t-shirt (White) XS",2,6,84,41282,TRUE,17,41282.29167
204,26,127,23,Plush shark slippers (Gray) M,23,7,8,41282,TRUE,17,41282.29167
205,26,128,34,Plush shark slippers (Gray) L,34,7,8,41282,TRUE,17,41282.29167
206,26,136,22,Animal with big feet slippers (Brown) L,22,7,8,41282,TRUE,17,41282.29167
207,26,140,26,Furry animal socks (Pink) L,26,9,18,41282,TRUE,17,41282.29167
208,27,27,26,DBA joke mug - SELECT caffeine FROM mug (Black),26,7,4.5,41282,TRUE,17,41282.29167
209,27,34,35,Developer joke mug - fun was unexpected at this time (White),35,7,4.5,41282,TRUE,17,41282.29167
210,27,35,40,Developer joke mug - fun was unexpected at this time (Black),40,7,4.5,41282,TRUE,17,41282.29167
211,27,36,27,Developer joke mug - when your hammer is C++ (White),27,7,4.5,41282,TRUE,17,41282.29167
212,27,47,31,Developer joke mug - a foo walks into a bar (Black),31,7,4.5,41282,TRUE,17,41282.29167
213,27,51,26,Developer joke mug - old C developers never die (Black),26,7,4.5,41282,TRUE,17,41282.29167
214,28,204,14,Tape dispenser (Red),14,7,170,41282,TRUE,17,41282.29167
215,29,61,83,RC toy sedan car with remote control (Green) 1/50 scale,83,7,12.5,41282,TRUE,17,41282.29167
216,30,12,101,USB food flash drive - donut,101,7,12,41282,TRUE,17,41282.29167
217,30,14,97,USB food flash drive - fortune cookie,97,7,12,41282,TRUE,17,41282.29167
218,31,204,4,Tape dispenser (Red),4,7,170,41283,TRUE,2,41283.29167
219,31,215,9,Air cushion machine (Blue),9,7,1140,41283,TRUE,2,41283.29167
220,32,77,2,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2,6,84,41284,TRUE,7,41284.29167
221,33,49,28,Developer joke mug - this code was generated by a tool (Black),28,7,4.5,41284,TRUE,7,41284.29167
222,34,204,2,Tape dispenser (Red),2,7,170,41284,TRUE,7,41284.29167
223,34,215,9,Air cushion machine (Blue),9,7,1140,41284,TRUE,7,41284.29167
224,35,73,55,Ride on vintage American toy coupe (Red) 1/12 scale,55,7,155,41284,TRUE,7,41284.29167
225,36,77,3,"""The Gu"" red shirt XML tag t-shirt (White) XXS",3,6,84,41285,TRUE,9,41285.29167
226,36,95,7,"""The Gu"" red shirt XML tag t-shirt (Black) XL",7,6,90,41285,TRUE,9,41285.29167
227,36,122,22,Ogre battery-powered slippers (Green) S,22,7,8,41285,TRUE,9,41285.29167
228,36,124,23,Ogre battery-powered slippers (Green) L,23,7,8,41285,TRUE,9,41285.29167
229,37,56,32,IT joke mug - hardware: part of the computer that can be kicked (White),32,7,4.5,41285,TRUE,9,41285.29167
230,38,204,3,Tape dispenser (Red),3,7,170,41285,TRUE,9,41285.29167
231,39,77,6,"""The Gu"" red shirt XML tag t-shirt (White) XXS",6,6,84,41288,TRUE,2,41288.29167
232,39,78,3,"""The Gu"" red shirt XML tag t-shirt (White) XS",3,6,84,41288,TRUE,2,41288.29167
233,39,95,21,"""The Gu"" red shirt XML tag t-shirt (Black) XL",21,6,90,41288,TRUE,2,41288.29167
234,40,25,26,DBA joke mug - I will get you in order (Black),26,7,4.5,41288,TRUE,2,41288.29167
235,40,30,27,Developer joke mug - Oct 31 = Dec 25 (White),27,7,4.5,41288,TRUE,2,41288.29167
236,40,31,42,Developer joke mug - Oct 31 = Dec 25 (Black),42,7,4.5,41288,TRUE,2,41288.29167
237,40,52,28,IT joke mug - keyboard not found … press F1 to continue (White),28,7,4.5,41288,TRUE,2,41288.29167
238,41,78,10,"""The Gu"" red shirt XML tag t-shirt (White) XS",10,6,84,41288,TRUE,2,41288.29167
239,41,95,3,"""The Gu"" red shirt XML tag t-shirt (Black) XL",3,6,90,41288,TRUE,2,41288.29167
240,42,204,9,Tape dispenser (Red),9,7,170,41288,TRUE,2,41288.29167
241,43,77,8,"""The Gu"" red shirt XML tag t-shirt (White) XXS",8,6,84,41289,TRUE,15,41289.29167
242,43,78,16,"""The Gu"" red shirt XML tag t-shirt (White) XS",16,6,84,41289,TRUE,15,41289.29167
243,43,86,2,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",2,6,96,41289,TRUE,15,41289.29167
244,43,95,16,"""The Gu"" red shirt XML tag t-shirt (Black) XL",16,6,90,41289,TRUE,15,41289.29167
245,44,42,33,Developer joke mug - understanding recursion requires understanding recursion (White),33,7,4.5,41289,TRUE,15,41289.29167
246,45,204,1,Tape dispenser (Red),1,7,170,41289,TRUE,15,41289.29167
247,46,62,92,RC toy sedan car with remote control (Yellow) 1/50 scale,92,7,12.5,41289,TRUE,15,41289.29167
248,47,77,9,"""The Gu"" red shirt XML tag t-shirt (White) XXS",9,6,84,41290,TRUE,6,41290.29167
249,47,78,22,"""The Gu"" red shirt XML tag t-shirt (White) XS",22,6,84,41290,TRUE,6,41290.29167
250,47,86,35,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",35,6,96,41290,TRUE,6,41290.29167
251,47,95,17,"""The Gu"" red shirt XML tag t-shirt (Black) XL",17,6,90,41290,TRUE,6,41290.29167
252,48,26,33,DBA joke mug - SELECT caffeine FROM mug (White),33,7,4.5,41290,TRUE,6,41290.29167
253,48,37,33,Developer joke mug - when your hammer is C++ (Black),33,7,4.5,41290,TRUE,6,41290.29167
254,49,66,88,RC big wheel monster truck with remote control (Black) 1/50 scale,88,7,15.5,41290,TRUE,6,41290.29167
255,50,77,6,"""The Gu"" red shirt XML tag t-shirt (White) XXS",6,6,84,41291,TRUE,7,41291.29167
256,50,78,19,"""The Gu"" red shirt XML tag t-shirt (White) XS",19,6,84,41291,TRUE,7,41291.29167
257,50,86,32,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",32,6,96,41291,TRUE,7,41291.29167
258,50,95,11,"""The Gu"" red shirt XML tag t-shirt (Black) XL",11,6,90,41291,TRUE,7,41291.29167
259,51,77,5,"""The Gu"" red shirt XML tag t-shirt (White) XXS",5,6,84,41292,TRUE,12,41292.29167
260,51,78,27,"""The Gu"" red shirt XML tag t-shirt (White) XS",27,6,84,41292,TRUE,12,41292.29167
261,51,86,31,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",31,6,96,41292,TRUE,12,41292.29167
262,51,95,15,"""The Gu"" red shirt XML tag t-shirt (Black) XL",15,6,90,41292,TRUE,12,41292.29167
263,51,98,6,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",6,6,96,41292,TRUE,12,41292.29167
264,52,77,13,"""The Gu"" red shirt XML tag t-shirt (White) XXS",13,6,84,41295,TRUE,4,41295.29167
265,52,78,40,"""The Gu"" red shirt XML tag t-shirt (White) XS",40,6,84,41295,TRUE,4,41295.29167
266,52,86,30,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",30,6,96,41295,TRUE,4,41295.29167
