SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
2087,7,5,31,4,2794,41283,10940,1641,12581,0,41288,TRUE,5,41288.375
2351,4,5,32,4,2279,41284,168,25.2,193.2,0,41288,TRUE,5,41288.375
2353,5,5,33,4,5876,41284,126,18.9,144.9,0,41288,TRUE,5,41288.375
2356,7,5,34,4,1910,41284,10600,1590,12190,0,41288,TRUE,5,41288.375
2358,10,5,35,4,5538,41284,8525,1278.75,9803.75,0,41288,TRUE,5,41288.375
2719,4,5,36,4,1677,41285,1242,186.3,1428.3,0,41288,TRUE,5,41288.375
2721,5,5,37,4,8004,41285,144,21.6,165.6,0,41288,TRUE,5,41288.375
2723,7,5,38,4,9443,41285,510,76.5,586.5,0,41288,TRUE,5,41288.375
3236,4,5,39,4,1097,41288,2646,396.9,3042.9,0,41288,TRUE,5,41288.375
3241,5,5,40,4,691,41288,553.5,83.03,636.53,0,41288,TRUE,5,41288.375
3244,4,5,41,4,5086,41288,1110,166.5,1276.5,0,41288,TRUE,5,41288.375
3246,7,5,42,4,4017,41288,1530,229.5,1759.5,0,41288,TRUE,5,41288.375
3247,4,7,,4,,41288,0,0,-7592.3,0,41288,TRUE,5,41288.375
3248,5,7,,4,,41288,0,0,-1904.42,0,41288,TRUE,5,41288.375
3249,7,7,,4,,41288,0,0,-29854,0,41288,TRUE,5,41288.375
3250,10,7,,4,,41288,0,0,-10996.88,0,41288,TRUE,5,41288.375
3251,12,7,,4,,41288,0,0,-2732.4,0,41288,TRUE,5,41288.375
3574,4,5,43,4,9295,41289,3648,547.2,4195.2,0,41295,TRUE,18,41295.375
3576,5,5,44,4,3601,41289,148.5,22.28,170.78,0,41295,TRUE,18,41295.375
3578,7,5,45,4,1718,41289,170,25.5,195.5,0,41295,TRUE,18,41295.375
3580,10,5,46,4,2921,41289,1150,172.5,1322.5,0,41295,TRUE,18,41295.375
4017,4,5,47,4,9303,41290,7494,1124.1,8618.1,0,41295,TRUE,18,41295.375
4020,5,5,48,4,1850,41290,297,44.56,341.56,0,41295,TRUE,18,41295.375
4022,10,5,49,4,5212,41290,1364,204.6,1568.6,0,41295,TRUE,18,41295.375
4221,4,5,50,4,3650,41291,6162,924.3,7086.3,0,41295,TRUE,18,41295.375
4467,4,5,51,4,2677,41292,7590,1138.5,8728.5,0,41295,TRUE,18,41295.375
4978,4,5,52,4,7211,41295,9702,1455.3,11157.3,0,41295,TRUE,18,41295.375
4980,5,5,53,4,2427,41295,144,21.6,165.6,0,41295,TRUE,18,41295.375
4982,4,5,54,4,2363,41295,756,113.4,869.4,0,41295,TRUE,18,41295.375
4984,5,5,55,4,9348,41295,139.5,20.93,160.43,0,41295,TRUE,18,41295.375
4985,4,7,,4,,41295,0,0,-40654.8,0,41295,TRUE,18,41295.375
4986,5,7,,4,,41295,0,0,-838.37,0,41295,TRUE,18,41295.375
4987,7,7,,4,,41295,0,0,-195.5,0,41295,TRUE,18,41295.375
4988,10,7,,4,,41295,0,0,-2891.1,0,41295,TRUE,18,41295.375
5163,4,5,56,4,4752,41296,8382,1257.3,9639.3,0,41302,TRUE,17,41302.375
5379,4,5,57,4,1044,41297,8850,1327.5,10177.5,0,41302,TRUE,17,41302.375
5695,4,5,58,4,13,41298,11514,1727.1,13241.1,0,41302,TRUE,17,41302.375
5892,4,5,59,4,1165,41299,14358,2153.7,16511.7,0,41302,TRUE,17,41302.375
6448,4,5,60,4,5931,41302,14358,2153.7,16511.7,0,41302,TRUE,17,41302.375
6452,4,5,61,4,8510,41302,2448,367.2,2815.2,0,41302,TRUE,17,41302.375
6454,10,5,62,4,4482,41302,8815,1322.25,10137.25,0,41302,TRUE,17,41302.375
6455,4,7,,4,,41302,0,0,-68896.5,0,41302,TRUE,17,41302.375
6456,10,7,,4,,41302,0,0,-10137.25,0,41302,TRUE,17,41302.375
6738,4,5,63,4,5200,41303,16410,2461.5,18871.5,0,41309,TRUE,6,41309.375
6740,7,5,64,4,2590,41303,1020,153,1173,0,41309,TRUE,6,41309.375
7129,4,5,65,4,7448,41304,19830,2974.5,22804.5,0,41309,TRUE,6,41309.375
7131,7,5,66,4,7195,41304,340,51,391,0,41309,TRUE,6,41309.375
7503,4,5,67,4,582,41305,20514,3077.1,23591.1,0,41309,TRUE,6,41309.375
7836,4,5,68,4,9112,41306,22434,3365.1,25799.1,0,41309,TRUE,6,41309.375
8357,4,5,69,4,6311,41309,25014,3752.1,28766.1,0,41309,TRUE,6,41309.375
8362,4,5,70,4,3585,41309,2244,336.6,2580.6,0,41309,TRUE,6,41309.375
8363,4,7,,4,,41309,0,0,-122412.9,0,41309,TRUE,6,41309.375
8364,7,7,,4,,41309,0,0,-1564,0,41309,TRUE,6,41309.375
8623,4,5,71,4,7488,41310,26550,3982.5,30532.5,0,41316,TRUE,19,41316.375
8814,4,5,72,4,4979,41311,26790,4018.5,30808.5,0,41316,TRUE,19,41316.375
9009,4,5,73,4,2141,41312,26826,4023.9,30849.9,0,41316,TRUE,19,41316.375
9181,4,5,74,4,9898,41313,26310,3946.5,30256.5,0,41316,TRUE,19,41316.375
9699,4,5,75,4,496,41316,26022,3903.3,29925.3,0,41316,TRUE,19,41316.375
9703,4,5,76,4,8384,41316,3804,570.6,4374.6,0,41316,TRUE,19,41316.375
9704,4,7,,4,,41316,0,0,-156747.3,0,41316,TRUE,19,41316.375
10029,4,5,77,4,2733,41317,29970,4495.5,34465.5,0,41323,TRUE,10,41323.375
10193,4,5,78,4,4085,41318,31302,4695.3,35997.3,0,41323,TRUE,10,41323.375
10370,4,5,79,4,4936,41319,33042,4956.3,37998.3,0,41323,TRUE,10,41323.375
10372,7,5,80,4,3363,41319,1190,178.5,1368.5,0,41323,TRUE,10,41323.375
10634,4,5,81,4,7232,41320,36678,5501.7,42179.7,0,41323,TRUE,10,41323.375
10636,7,5,82,4,6588,41320,2040,306,2346,0,41323,TRUE,10,41323.375
11047,4,5,83,4,3866,41323,36066,5409.9,41475.9,0,41323,TRUE,10,41323.375
11049,7,5,84,4,1117,41323,1360,204,1564,0,41323,TRUE,10,41323.375
11053,4,5,85,4,6329,41323,1440,216,1656,0,41323,TRUE,10,41323.375
11054,4,7,,4,,41323,0,0,-193772.7,0,41323,TRUE,10,41323.375
11055,7,7,,4,,41323,0,0,-5278.5,0,41323,TRUE,10,41323.375
11269,4,5,86,4,3252,41324,37590,5638.5,43228.5,0,41330,TRUE,4,41330.375
11271,7,5,87,4,5623,41324,2210,331.5,2541.5,0,41330,TRUE,4,41330.375
11524,4,5,88,4,8265,41325,37602,5640.3,43242.3,0,41330,TRUE,4,41330.375
11526,7,5,89,4,1892,41325,2550,382.5,2932.5,0,41330,TRUE,4,41330.375
11819,4,5,90,4,3951,41326,38868,5830.2,44698.2,0,41330,TRUE,4,41330.375
11821,7,5,91,4,9767,41326,3230,484.5,3714.5,0,41330,TRUE,4,41330.375
12008,4,5,92,4,5049,41327,37452,5617.8,43069.8,0,41330,TRUE,4,41330.375
12010,7,5,93,4,6105,41327,2550,382.5,2932.5,0,41330,TRUE,4,41330.375
12440,4,5,94,4,8331,41330,37212,5581.8,42793.8,0,41330,TRUE,4,41330.375
12442,7,5,95,4,9031,41330,4080,612,4692,0,41330,TRUE,4,41330.375
12446,4,5,96,4,149,41330,2052,307.8,2359.8,0,41330,TRUE,4,41330.375
12448,7,5,97,4,6779,41330,1700,255,1955,0,41330,TRUE,4,41330.375
12449,4,7,,4,,41330,0,0,-219392.4,0,41330,TRUE,4,41330.375
12450,7,7,,4,,41330,0,0,-18768,0,41330,TRUE,4,41330.375
12611,4,5,98,4,8792,41331,36432,5464.8,41896.8,0,41337,TRUE,14,41337.375
12613,7,5,99,4,1663,41331,4420,663,5083,0,41337,TRUE,14,41337.375
12881,4,5,100,4,5762,41332,36552,5482.8,42034.8,0,41337,TRUE,14,41337.375
12883,7,5,101,4,2466,41332,3740,561,4301,0,41337,TRUE,14,41337.375
13077,4,5,102,4,8862,41333,36000,5400,41400,0,41337,TRUE,14,41337.375
13079,7,5,103,4,4111,41333,4420,663,5083,0,41337,TRUE,14,41337.375
13277,4,5,104,4,6083,41334,36324,5448.6,41772.6,0,41337,TRUE,14,41337.375
13279,7,5,105,4,9846,41334,3740,561,4301,0,41337,TRUE,14,41337.375
13834,4,5,106,4,845,41337,38472,5770.8,44242.8,0,41337,TRUE,14,41337.375
13836,7,5,107,4,9908,41337,3910,586.5,4496.5,0,41337,TRUE,14,41337.375
13842,4,5,108,4,6244,41337,2664,399.6,3063.6,0,41337,TRUE,14,41337.375
13843,4,7,,4,,41337,0,0,-214410.6,0,41337,TRUE,14,41337.375
13844,7,7,,4,,41337,0,0,-23264.5,0,41337,TRUE,14,41337.375
14211,4,5,109,4,2164,41338,43866,6579.9,50445.9,0,41344,TRUE,17,41344.375
14213,7,5,110,4,3906,41338,4760,714,5474,0,41344,TRUE,17,41344.375
14459,4,5,111,4,6582,41339,43848,6577.2,50425.2,0,41344,TRUE,17,41344.375
14461,7,5,112,4,5501,41339,4080,612,4692,0,41344,TRUE,17,41344.375
14878,4,5,113,4,8640,41340,43740,6561,50301,0,41344,TRUE,17,41344.375
14880,7,5,114,4,2764,41340,4760,714,5474,0,41344,TRUE,17,41344.375
15277,4,5,115,4,635,41341,46392,6958.8,53350.8,0,41344,TRUE,17,41344.375
15279,7,5,116,4,10,41341,4930,739.5,5669.5,0,41344,TRUE,17,41344.375
15861,4,5,117,4,3769,41344,45744,6861.6,52605.6,0,41344,TRUE,17,41344.375
15863,7,5,118,4,9407,41344,5440,816,6256,0,41344,TRUE,17,41344.375
15865,4,5,119,4,3489,41344,672,100.8,772.8,0,41344,TRUE,17,41344.375
15866,4,7,,4,,41344,0,0,-257901.3,0,41344,TRUE,17,41344.375
15867,7,7,,4,,41344,0,0,-27565.5,0,41344,TRUE,17,41344.375
16202,4,5,120,4,1393,41345,47754,7163.1,54917.1,0,41351,TRUE,19,41351.375
16204,7,5,121,4,8136,41345,5440,816,6256,0,41351,TRUE,19,41351.375
16596,4,5,122,4,2145,41346,49662,7449.3,57111.3,0,41351,TRUE,19,41351.375
16598,7,5,123,4,3431,41346,4760,714,5474,0,41351,TRUE,19,41351.375
16891,4,5,124,4,1725,41347,49566,7434.9,57000.9,0,41351,TRUE,19,41351.375
16893,7,5,125,4,796,41347,6630,994.5,7624.5,0,41351,TRUE,19,41351.375
17288,4,5,126,4,5081,41348,54282,8142.3,62424.3,0,41351,TRUE,19,41351.375
17290,7,5,127,4,1536,41348,5950,892.5,6842.5,0,41351,TRUE,19,41351.375
17848,4,5,128,4,3465,41351,56208,8431.2,64639.2,0,41351,TRUE,19,41351.375
17851,7,5,129,4,6381,41351,5346.8,802.02,6148.82,0,41351,TRUE,19,41351.375
17857,4,5,130,4,595,41351,4524,678.6,5202.6,0,41351,TRUE,19,41351.375
17858,4,7,,4,,41351,0,0,-301295.4,0,41351,TRUE,19,41351.375
17859,7,7,,4,,41351,0,0,-32345.82,0,41351,TRUE,19,41351.375
18039,4,5,131,4,5638,41352,59790,8968.5,68758.5,0,41358,TRUE,4,41358.375
18041,7,5,132,4,4145,41352,5100,765,5865,0,41358,TRUE,4,41358.375
18427,4,5,133,4,184,41353,62742,9411.3,72153.3,0,41358,TRUE,4,41358.375
18430,7,5,134,4,1351,41353,5259.2,788.88,6048.08,0,41358,TRUE,4,41358.375
18797,4,5,135,4,8521,41354,64620,9693,74313,0,41358,TRUE,4,41358.375
18800,7,5,136,4,6501,41354,4809.6,721.44,5531.04,0,41358,TRUE,4,41358.375
19195,4,5,137,4,6090,41355,67464,10119.6,77583.6,0,41358,TRUE,4,41358.375
19198,7,5,138,4,7535,41355,7765.6,1164.84,8930.44,0,41358,TRUE,4,41358.375
19667,4,5,139,4,4037,41358,70686,10602.9,81288.9,0,41358,TRUE,4,41358.375
19670,7,5,140,4,368,41358,7650.4,1147.56,8797.96,0,41358,TRUE,4,41358.375
19672,7,5,141,4,7669,41358,170,25.5,195.5,0,41358,TRUE,4,41358.375
19673,4,7,,4,,41358,0,0,-374097.3,0,41358,TRUE,4,41358.375
19674,7,7,,4,,41358,0,0,-35368.02,0,41358,TRUE,4,41358.375
19972,4,5,142,4,1256,41359,70542,10581.3,81123.3,0,41365,TRUE,17,41365.375
19975,7,5,143,4,1641,41359,7590,1138.5,8728.5,0,41365,TRUE,17,41365.375
20181,4,5,144,4,9638,41360,70890,10633.5,81523.5,0,41365,TRUE,17,41365.375
20184,7,5,145,4,2264,41360,7063.6,1059.54,8123.14,0,41365,TRUE,17,41365.375
20583,4,5,146,4,3934,41361,71202,10680.3,81882.3,0,41365,TRUE,17,41365.375
20586,7,5,147,4,7287,41361,8522.4,1278.36,9800.76,0,41365,TRUE,17,41365.375
20767,4,5,148,4,8477,41362,71046,10656.9,81702.9,0,41365,TRUE,17,41365.375
20770,7,5,149,4,2327,41362,7688.8,1153.32,8842.12,0,41365,TRUE,17,41365.375
21065,4,5,150,4,4803,41365,69630,10444.5,80074.5,0,41365,TRUE,17,41365.375
21068,7,5,151,4,4468,41365,8599.2,1289.88,9889.08,0,41365,TRUE,17,41365.375
21073,4,5,152,4,6299,41365,2952,442.8,3394.8,0,41365,TRUE,17,41365.375
21074,4,7,,4,,41365,0,0,-409701.3,0,41365,TRUE,17,41365.375
21075,7,7,,4,,41365,0,0,-45383.6,0,41365,TRUE,17,41365.375
21470,4,5,153,4,8940,41366,72426,10863.9,83289.9,0,41372,TRUE,2,41372.375
21473,7,5,154,4,3874,41366,9986.8,1498.02,11484.82,0,41372,TRUE,2,41372.375
21757,4,5,155,4,873,41367,73110,10966.5,84076.5,0,41372,TRUE,2,41372.375
21760,7,5,156,4,7948,41367,10387.2,1558.08,11945.28,0,41372,TRUE,2,41372.375
22020,4,5,157,4,4746,41368,74460,11169,85629,0,41372,TRUE,2,41372.375
22023,7,5,158,4,1433,41368,10409.2,1561.38,11970.58,0,41372,TRUE,2,41372.375
22409,4,5,159,4,9995,41369,76524,11478.6,88002.6,0,41372,TRUE,2,41372.375
22412,7,5,160,4,2430,41369,11072.8,1660.92,12733.72,0,41372,TRUE,2,41372.375
22931,4,5,161,4,5240,41372,79524,11928.6,91452.6,0,41372,TRUE,2,41372.375
22934,7,5,162,4,1691,41372,12109.2,1816.38,13925.58,0,41372,TRUE,2,41372.375
22937,4,5,163,4,743,41372,912,136.8,1048.8,0,41372,TRUE,2,41372.375
22939,7,5,164,4,4720,41372,1020,153,1173,0,41372,TRUE,2,41372.375
22940,4,7,,4,,41372,0,0,-433499.4,0,41372,TRUE,2,41372.375
22941,7,7,,4,,41372,0,0,-63232.98,0,41372,TRUE,2,41372.375
23163,4,5,165,4,4497,41373,81786,12267.9,94053.9,0,41379,TRUE,4,41379.375
23166,7,5,166,4,9679,41373,11462,1719.3,13181.3,0,41379,TRUE,4,41379.375
23387,4,5,167,4,4944,41374,84084,12612.6,96696.6,0,41379,TRUE,4,41379.375
23390,7,5,168,4,4933,41374,12158.4,1823.76,13982.16,0,41379,TRUE,4,41379.375
23762,4,5,169,4,8141,41375,85044,12756.6,97800.6,0,41379,TRUE,4,41379.375
23765,7,5,170,4,3324,41375,11401.6,1710.24,13111.84,0,41379,TRUE,4,41379.375
24004,4,5,171,4,3702,41376,85158,12773.7,97931.7,0,41379,TRUE,4,41379.375
24007,7,5,172,4,9637,41376,12312,1846.8,14158.8,0,41379,TRUE,4,41379.375
24569,4,5,173,4,8900,41379,88590,13288.5,101878.5,0,41379,TRUE,4,41379.375
24572,7,5,174,4,8016,41379,11785.6,1767.84,13553.44,0,41379,TRUE,4,41379.375
24577,4,5,175,4,747,41379,2208,331.2,2539.2,0,41379,TRUE,4,41379.375
24578,4,7,,4,,41379,0,0,-490900.5,0,41379,TRUE,4,41379.375
24579,7,7,,4,,41379,0,0,-67987.54,0,41379,TRUE,4,41379.375
24757,4,5,176,4,6077,41380,90474,13571.1,104045.1,0,41386,TRUE,14,41386.375
24760,7,5,177,4,6300,41380,10535.2,1580.28,12115.48,0,41386,TRUE,14,41386.375
25137,4,5,178,4,8267,41381,95376,14306.4,109682.4,0,41386,TRUE,14,41386.375
25140,7,5,179,4,2075,41381,11423.6,1713.54,13137.14,0,41386,TRUE,14,41386.375
25546,4,5,180,4,7636,41382,96600,14490,111090,0,41386,TRUE,14,41386.375
25549,7,5,181,4,3990,41382,12125.6,1818.84,13944.44,0,41386,TRUE,14,41386.375
25832,4,5,182,4,4990,41383,100938,15140.7,116078.7,0,41386,TRUE,14,41386.375
25835,7,5,183,4,8389,41383,12822,1923.3,14745.3,0,41386,TRUE,14,41386.375
26440,4,5,184,4,4873,41386,102750,15412.5,118162.5,0,41386,TRUE,14,41386.375
26443,7,5,185,4,1489,41386,13036,1955.4,14991.4,0,41386,TRUE,14,41386.375
26446,4,5,186,4,3690,41386,1068,160.2,1228.2,0,41386,TRUE,14,41386.375
26448,7,5,187,4,5492,41386,192,28.8,220.8,0,41386,TRUE,14,41386.375
26449,4,7,,4,,41386,0,0,-560286.9,0,41386,TRUE,14,41386.375
26450,7,7,,4,,41386,0,0,-69154.56,0,41386,TRUE,14,41386.375
26768,4,5,188,4,3922,41387,107706,16155.9,123861.9,0,41393,TRUE,8,41393.375
26771,7,5,189,4,3910,41387,14292,2143.8,16435.8,0,41393,TRUE,8,41393.375
27126,4,5,190,4,9120,41388,110748,16612.2,127360.2,0,41393,TRUE,8,41393.375
27129,7,5,191,4,976,41388,13458.4,2018.76,15477.16,0,41393,TRUE,8,41393.375
27388,4,5,192,4,659,41389,111144,16671.6,127815.6,0,41393,TRUE,8,41393.375
27391,7,5,193,4,8800,41389,13590,2038.5,15628.5,0,41393,TRUE,8,41393.375
27568,4,5,194,4,8949,41390,110904,16635.6,127539.6,0,41393,TRUE,8,41393.375
27571,7,5,195,4,5995,41390,13140.4,1971.06,15111.46,0,41393,TRUE,8,41393.375
28130,4,5,196,4,547,41393,110856,16628.4,127484.4,0,41393,TRUE,8,41393.375
28133,7,5,197,4,2409,41393,12460.4,1869.06,14329.46,0,41393,TRUE,8,41393.375
28137,4,5,198,4,4447,41393,1728,259.2,1987.2,0,41393,TRUE,8,41393.375
28139,7,5,199,4,6850,41393,537.6,80.64,618.24,0,41393,TRUE,8,41393.375
28140,4,7,,4,,41393,0,0,-636048.9,0,41393,TRUE,8,41393.375
28141,7,7,,4,,41393,0,0,-77600.62,0,41393,TRUE,8,41393.375
28380,4,5,200,4,9440,41394,110700,16605,127305,0,41400,TRUE,19,41400.375
28383,7,5,201,4,2954,41394,12098.8,1814.82,13913.62,0,41400,TRUE,19,41400.375
28756,4,5,202,4,2457,41395,110394,16559.1,126953.1,0,41400,TRUE,19,41400.375
28759,7,5,203,4,3772,41395,11588.8,1738.32,13327.12,0,41400,TRUE,19,41400.375
29022,4,5,204,4,5559,41396,114690,17203.5,131893.5,0,41400,TRUE,19,41400.375
29025,7,5,205,4,7053,41396,11709.6,1756.44,13466.04,0,41400,TRUE,19,41400.375
29401,4,5,206,4,930,41397,117900,17685,135585,0,41400,TRUE,19,41400.375
29404,7,5,207,4,4440,41397,11770,1765.5,13535.5,0,41400,TRUE,19,41400.375
29889,4,5,208,4,2134,41400,120684,18102.6,138786.6,0,41400,TRUE,19,41400.375
29892,7,5,209,4,1072,41400,12466.4,1869.96,14336.36,0,41400,TRUE,19,41400.375
29895,4,5,210,4,1817,41400,924,138.6,1062.6,0,41400,TRUE,19,41400.375
29896,4,7,,4,,41400,0,0,-661585.8,0,41400,TRUE,19,41400.375
29897,7,7,,4,,41400,0,0,-68578.64,0,41400,TRUE,19,41400.375
30303,4,5,211,4,9385,41401,123762,18564.3,142326.3,0,41407,TRUE,12,41407.375
30306,7,5,212,4,2002,41401,11484.8,1722.72,13207.52,0,41407,TRUE,12,41407.375
30585,4,5,213,4,7488,41402,124008,18601.2,142609.2,0,41407,TRUE,12,41407.375
30588,7,5,214,4,7275,41402,10651.2,1597.68,12248.88,0,41407,TRUE,12,41407.375
30978,4,5,215,4,7864,41403,130854,19628.1,150482.1,0,41407,TRUE,12,41407.375
30981,7,5,216,4,6873,41403,10667.6,1600.14,12267.74,0,41407,TRUE,12,41407.375
31394,4,5,217,4,151,41404,133044,19956.6,153000.6,0,41407,TRUE,12,41407.375
31397,7,5,218,4,7601,41404,13826.4,2073.96,15900.36,0,41407,TRUE,12,41407.375
31821,4,5,219,4,5932,41407,134700,20205,154905,0,41407,TRUE,12,41407.375
31824,7,5,220,4,778,41407,14884.8,2232.72,17117.52,0,41407,TRUE,12,41407.375
31827,4,5,221,4,5982,41407,1044,156.6,1200.6,0,41407,TRUE,12,41407.375
31828,4,7,,4,,41407,0,0,-744523.8,0,41407,TRUE,12,41407.375
31829,7,7,,4,,41407,0,0,-70742.02,0,41407,TRUE,12,41407.375
32187,4,5,222,4,8770,41408,134748,20212.2,154960.2,0,41414,TRUE,6,41414.375
32190,7,5,223,4,9702,41408,13826.4,2073.96,15900.36,0,41414,TRUE,6,41414.375
32573,4,5,224,4,6479,41409,137250,20587.5,157837.5,0,41414,TRUE,6,41414.375
32576,7,5,225,4,1688,41409,13300,1995,15295,0,41414,TRUE,6,41414.375
32846,4,5,226,4,798,41410,137862,20679.3,158541.3,0,41414,TRUE,6,41414.375
32849,7,5,227,4,8092,41410,14374.8,2156.22,16531.02,0,41414,TRUE,6,41414.375
33115,4,5,228,4,3528,41411,138270,20740.5,159010.5,0,41414,TRUE,6,41414.375
33118,7,5,229,4,761,41411,13541.2,2031.18,15572.38,0,41414,TRUE,6,41414.375
33619,4,5,230,4,9627,41414,140022,21003.3,161025.3,0,41414,TRUE,6,41414.375
33622,7,5,231,4,3445,41414,15800.8,2370.12,18170.92,0,41414,TRUE,6,41414.375
33626,4,5,232,4,6485,41414,1728,259.2,1987.2,0,41414,TRUE,6,41414.375
33628,7,5,233,4,8560,41414,170,25.5,195.5,0,41414,TRUE,6,41414.375
33629,4,7,,4,,41414,0,0,-793362,0,41414,TRUE,6,41414.375
33630,7,7,,4,,41414,0,0,-81665.18,0,41414,TRUE,6,41414.375
33994,4,5,234,4,5686,41415,142206,21330.9,163536.9,0,41421,TRUE,11,41421.375
33997,7,5,235,4,9326,41415,17089.6,2563.44,19653.04,0,41421,TRUE,11,41421.375
34272,4,5,236,4,53,41416,143814,21572.1,165386.1,0,41421,TRUE,11,41421.375
34275,7,5,237,4,5254,41416,16256,2438.4,18694.4,0,41421,TRUE,11,41421.375
34506,4,5,238,4,7709,41417,145344,21801.6,167145.6,0,41421,TRUE,11,41421.375
34509,7,5,239,4,6529,41417,15499.2,2324.88,17824.08,0,41421,TRUE,11,41421.375
34842,4,5,240,4,464,41418,146220,21933,168153,0,41421,TRUE,11,41421.375
34845,7,5,241,4,5001,41418,14972.8,2245.92,17218.72,0,41421,TRUE,11,41421.375
35266,4,5,242,4,3253,41421,150252,22537.8,172789.8,0,41421,TRUE,11,41421.375
35270,7,5,243,4,1920,41421,15473.2,2320.98,17794.18,0,41421,TRUE,11,41421.375
35272,4,5,244,4,9204,41421,96,14.4,110.4,0,41421,TRUE,11,41421.375
35274,7,5,245,4,154,41421,499.2,74.88,574.08,0,41421,TRUE,11,41421.375
35275,4,7,,4,,41421,0,0,-837121.8,0,41421,TRUE,11,41421.375
35276,7,7,,4,,41421,0,0,-91758.5,0,41421,TRUE,11,41421.375
35599,4,5,246,4,96,41422,151128,22669.2,173797.2,0,41428,TRUE,15,41428.375
35602,7,5,247,4,566,41422,14671.2,2200.68,16871.88,0,41428,TRUE,15,41428.375
36009,4,5,248,4,1610,41423,155178,23276.7,178454.7,0,41428,TRUE,15,41428.375
36012,7,5,249,4,2254,41423,15998.4,2399.76,18398.16,0,41428,TRUE,15,41428.375
36212,4,5,250,4,8195,41424,156474,23471.1,179945.1,0,41428,TRUE,15,41428.375
36215,7,5,251,4,1193,41424,15318.4,2297.76,17616.16,0,41428,TRUE,15,41428.375
36611,4,5,252,4,4470,41425,161358,24203.7,185561.7,0,41428,TRUE,15,41428.375
36614,7,5,253,4,850,41425,16014.8,2402.22,18417.02,0,41428,TRUE,15,41428.375
